State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Alabama,01/04/2020,4578,12/28/2019,18523,1923741,0.96
Alabama,01/11/2020,3629,01/04/2020,21143,1923741,1.10
Alabama,01/18/2020,2483,01/11/2020,17402,1923741,0.90
Alabama,01/25/2020,2129,01/18/2020,18390,1923741,0.96
Alabama,02/01/2020,2170,01/25/2020,17284,1923741,0.90
Alabama,02/08/2020,2176,02/01/2020,16745,1923741,0.87
Alabama,02/15/2020,1981,02/08/2020,16571,1923741,0.86
Alabama,02/22/2020,1735,02/15/2020,16059,1923741,0.83
Alabama,02/29/2020,1575,02/22/2020,14721,1923741,0.77
Alabama,03/07/2020,1663,02/29/2020,13657,1923741,0.71
Alabama,03/14/2020,1819,03/07/2020,13070,1923741,0.68
Alabama,03/21/2020,10892,03/14/2020,12487,1923741,0.65
Alabama,03/28/2020,80984,03/21/2020,18083,1923741,0.94
Alabama,04/04/2020,106739,03/28/2020,52176,1923741,2.71
Alabama,04/11/2020,77515,04/04/2020,95325,1929897,4.94
Alabama,04/18/2020,66432,04/11/2020,144327,1929897,7.48
Alabama,04/25/2020,74966,04/18/2020,173855,1929897,9.01
Alaska,01/04/2020,981,12/28/2019,10177,306493,3.32
Alaska,01/11/2020,1371,01/04/2020,9310,307329,3.03
Alaska,01/18/2020,1181,01/11/2020,9984,307329,3.25
Alaska,01/25/2020,1003,01/18/2020,9496,307329,3.09
Alaska,02/01/2020,1122,01/25/2020,9579,307329,3.12
Alaska,02/08/2020,980,02/01/2020,9161,307329,2.98
Alaska,02/15/2020,915,02/08/2020,9343,307329,3.04
Alaska,02/22/2020,773,02/15/2020,8864,307329,2.88
Alaska,02/29/2020,874,02/22/2020,8938,307329,2.91
Alaska,03/07/2020,815,02/29/2020,8266,307329,2.69
Alaska,03/14/2020,1120,03/07/2020,8522,307329,2.77
Alaska,03/21/2020,7847,03/14/2020,8512,307329,2.77
Alaska,03/28/2020,13774,03/21/2020,11173,307329,3.64
Alaska,04/04/2020,14590,03/28/2020,19845,307329,6.46
Alaska,04/11/2020,12007,04/04/2020,35365,308137,11.48
Alaska,04/18/2020,12201,04/11/2020,48096,308137,15.61
Alaska,04/25/2020,10313,04/18/2020,52022,308137,16.88
Arkansas,01/04/2020,2576,12/28/2019,15323,1193713,1.28
Arkansas,01/11/2020,2493,01/04/2020,15536,1195622,1.30
Arkansas,01/18/2020,1729,01/11/2020,13229,1195622,1.11
Arkansas,01/25/2020,1683,01/18/2020,12331,1195622,1.03
Arkansas,02/01/2020,1837,01/25/2020,13210,1195622,1.10
Arkansas,02/08/2020,1724,02/01/2020,12964,1195622,1.08
Arkansas,02/15/2020,1602,02/08/2020,12979,1195622,1.09
Arkansas,02/22/2020,1055,02/15/2020,12546,1195622,1.05
Arkansas,02/29/2020,1418,02/22/2020,12244,1195622,1.02
Arkansas,03/07/2020,1843,02/29/2020,11618,1195622,0.97
Arkansas,03/14/2020,1382,03/07/2020,11514,1195622,0.96
Arkansas,03/21/2020,9275,03/14/2020,10988,1195622,0.92
Arkansas,03/28/2020,27756,03/21/2020,16148,1195622,1.35
Arkansas,04/04/2020,62086,03/28/2020,36499,1195622,3.05
Arkansas,04/11/2020,35629,04/04/2020,66511,1196468,5.56
Arkansas,04/18/2020,25404,04/11/2020,91278,1196468,7.63
Arkansas,04/25/2020,17671,04/18/2020,109337,1196468,9.14
Arizona,01/04/2020,3132,12/28/2019,17991,2864180,0.63
Arizona,01/11/2020,4654,01/04/2020,18259,2864180,0.64
Arizona,01/18/2020,4152,01/11/2020,18421,2864180,0.64
Arizona,01/25/2020,3475,01/18/2020,18401,2864180,0.64
Arizona,02/01/2020,3807,01/25/2020,18854,2864180,0.66
Arizona,02/08/2020,3636,02/01/2020,18461,2864180,0.64
Arizona,02/15/2020,3538,02/08/2020,18516,2864180,0.65
Arizona,02/22/2020,3151,02/15/2020,18217,2864180,0.64
Arizona,02/29/2020,3086,02/22/2020,18137,2864180,0.63
Arizona,03/07/2020,3357,02/29/2020,17593,2864180,0.61
Arizona,03/14/2020,3844,03/07/2020,17595,2864180,0.61
Arizona,03/21/2020,29348,03/14/2020,18108,2864180,0.63
Arizona,03/28/2020,88940,03/21/2020,26387,2864180,0.92
Arizona,04/04/2020,132428,03/28/2020,62597,2864180,2.19
Arizona,04/11/2020,98531,04/04/2020,120592,2864180,4.21
Arizona,04/18/2020,72457,04/11/2020,170262,2885408,5.90
Arizona,04/25/2020,52581,04/18/2020,196401,2885408,6.81
California,01/04/2020,36720,12/28/2019,359606,17203829,2.09
California,01/11/2020,51993,01/04/2020,356376,17265039,2.06
California,01/18/2020,64858,01/11/2020,376947,17265039,2.18
California,01/25/2020,45596,01/18/2020,336269,17265039,1.95
California,02/01/2020,43458,01/25/2020,388341,17265039,2.25
California,02/08/2020,40392,02/01/2020,359156,17265039,2.08
California,02/15/2020,43445,02/08/2020,375305,17265039,2.17
California,02/22/2020,34979,02/15/2020,349252,17265039,2.02
California,02/29/2020,41678,02/22/2020,369988,17265039,2.14
California,03/07/2020,43385,02/29/2020,378864,17265039,2.19
California,03/14/2020,57606,03/07/2020,351344,17265039,2.04
California,03/21/2020,186333,03/14/2020,421912,17265039,2.44
California,03/28/2020,1058325,03/21/2020,400565,17265039,2.32
California,04/04/2020,918814,03/28/2020,1076761,17265039,6.24
California,04/11/2020,655472,04/04/2020,1429954,17330010,8.25
California,04/18/2020,528360,04/11/2020,2422458,17330010,13.98
California,04/25/2020,325343,04/18/2020,1887575,17330010,10.89
Colorado,01/04/2020,2431,12/28/2019,21391,2635231,0.81
Colorado,01/11/2020,3001,01/04/2020,21492,2650335,0.81
Colorado,01/18/2020,2522,01/11/2020,21104,2650335,0.80
Colorado,01/25/2020,2164,01/18/2020,22738,2650335,0.86
Colorado,02/01/2020,2049,01/25/2020,21560,2650335,0.81
Colorado,02/08/2020,2482,02/01/2020,22881,2650335,0.86
Colorado,02/15/2020,2209,02/08/2020,22076,2650335,0.83
Colorado,02/22/2020,1862,02/15/2020,23694,2650335,0.89
Colorado,02/29/2020,1681,02/22/2020,22409,2650335,0.85
Colorado,03/07/2020,1865,02/29/2020,22908,2650335,0.86
Colorado,03/14/2020,2321,03/07/2020,21260,2650335,0.80
Colorado,03/21/2020,19774,03/14/2020,21309,2650335,0.80
Colorado,03/28/2020,61838,03/21/2020,21956,2650335,0.83
Colorado,04/04/2020,46326,03/28/2020,73584,2650335,2.78
Colorado,04/11/2020,104572,04/04/2020,166593,2666358,6.25
Colorado,04/18/2020,67639,04/11/2020,171434,2666358,6.43
Colorado,04/25/2020,38662,04/18/2020,228713,2666358,8.58
Connecticut,01/04/2020,7852,12/28/2019,46562,1655540,2.81
Connecticut,01/11/2020,5986,01/04/2020,47540,1654391,2.87
Connecticut,01/18/2020,3776,01/11/2020,42483,1654391,2.57
Connecticut,01/25/2020,2949,01/18/2020,41760,1654391,2.52
Connecticut,02/01/2020,2994,01/25/2020,41725,1654391,2.52
Connecticut,02/08/2020,2944,02/01/2020,41633,1654391,2.52
Connecticut,02/15/2020,2520,02/08/2020,39384,1654391,2.38
Connecticut,02/22/2020,2435,02/15/2020,41691,1654391,2.52
Connecticut,02/29/2020,2843,02/22/2020,42168,1654391,2.55
Connecticut,03/07/2020,2527,02/29/2020,40638,1654391,2.46
